date,rtm_price,Solar_Avg,NonSolar_Avg
01/04/22,5.76,4.3341,6.7828
02/04/22,5.23,3.7035,6.314
03/04/22,5.97,3.2556,7.9129
04/04/22,5.25,3.5586,6.4531
05/04/22,7.46,5.5205,8.8503
06/04/22,10.82,9.1611,12.0
07/04/22,10.06,7.3883,11.9699
08/04/22,9.34,5.7718,11.8929
09/04/22,9.86,6.8751,12.0
10/04/22,7.37,3.6602,10.0202
11/04/22,9.32,6.894,11.0482
12/04/22,10.53,8.4622,12.0
13/04/22,10.68,8.8395,12.0
14/04/22,8.72,7.0983,9.885
15/04/22,5.94,4.3612,7.0747
16/04/22,9.38,5.8713,11.8933
17/04/22,7.29,4.1055,9.5724
18/04/22,9.81,7.1033,11.7411
19/04/22,11.19,10.0601,12.0
20/04/22,11.47,11.0273,11.7857
21/04/22,11.85,11.6407,12.0
22/04/22,12,12.0,12.0
23/04/22,12,12.0,12.0
24/04/22,8.77,4.7516,11.6485
25/04/22,11.16,10.5771,11.5714
26/04/22,11.38,10.517,12.0
27/04/22,12,12.0,12.0
28/04/22,12,12.0,12.0
29/04/22,12,12.0,12.0
30/04/22,11.67,11.2141,12.0
01/05/22,6.33,3.414,8.4067
02/05/22,7.38,6.0993,8.2991
03/05/22,8.92,5.3335,11.4851
04/05/22,8.88,6.2201,10.7718
05/05/22,8.9,7.1411,10.1644
06/05/22,7.63,4.3544,9.9775
07/05/22,6.5,4.6222,7.8413
08/05/22,5.32,2.922,7.026
09/05/22,5.36,3.938,6.3773
10/05/22,5.76,3.6664,7.2589
11/05/22,5.3,4.4841,5.8847
12/05/22,4.18,3.0283,5.0037
13/05/22,4.27,3.3681,4.9161
14/05/22,4.02,3.1171,4.6611
15/05/22,3.51,2.5628,4.188
16/05/22,4.47,3.8922,4.88
17/05/22,4.81,4.7651,4.7546
18/05/22,8.376,6.6169,9.6325
19/05/22,8.3434,7.6862,8.8129
20/05/22,5.2907,3.7059,6.4227
21/05/22,2.8935,2.506,3.1703
22/05/22,2.79,1.932,3.4029
23/05/22,2.559,1.7433,3.1416
24/05/22,6.31,3.9894,8.8081
25/05/22,7.85,5.9028,9.2456
26/05/22,6.06,3.612,7.8154
27/05/22,4.4,3.1705,5.2865
28/05/22,5.99,3.8232,7.5389
29/05/22,5.43,3.2365,6.9963
30/05/22,6.99,4.8166,8.5414
31/05/22,6.3,6.0594,6.3014
01/06/22,7.11,4.5654,8.932
02/06/22,8.33,,
03/06/22,7.81,,
04/06/22,8.7,,
05/06/22,7.91,,
06/06/22,7.44,,
07/06/22,6.6,,
08/06/22,6.9,,
09/06/22,6.03,,
10/06/22,8.45,,
11/06/22,7.32,,
12/06/22,5.86,,
13/06/22,9.6,,
14/06/22,10.4,,
15/06/22,7.52,,
16/06/22,5.9,,
17/06/22,4.91,,
18/06/22,4.13,,
19/06/22,2.96,,
20/06/22,3.13,,
21/06/22,3.49,,
22/06/22,5.71,,
23/06/22,6.78,,
24/06/22,6.06,,
25/06/22,6.2,,
26/06/22,6.46,,
27/06/22,9.08,,
28/06/22,8.83,,
29/06/22,3.97,,
30/06/22,3.23,,
01/07/22,3.68,,
02/07/22,4.24,,
03/07/22,3.64,2.5897,4.3918
04/07/22,5.6,3.8702,6.8403
05/07/22,6.65,4.0079,8.5398
06/07/22,6.63,4.0115,8.5011
07/07/22,6.78,4.302,8.5557
08/07/22,5.32,4.0805,6.2129
09/07/22,3.55,2.5871,4.2428
10/07/22,2.97,1.7829,3.8159
11/07/22,4.2,3.1442,4.9561
12/07/22,3.72,2.5666,4.5517
13/07/22,4.11,2.9501,4.9439
14/07/22,3.76,2.6055,4.5894
15/07/22,4.15,3.1133,4.8915
16/07/22,4.72,3.3598,5.6884
17/07/22,3.91,2.614,4.834
18/07/22,5.75,3.7392,7.1921
19/07/22,6.47,4.1472,8.1235
20/07/22,5.85,3.3402,7.6441
21/07/22,3.79,2.7489,4.5301
22/07/22,4.24,3.6172,4.6877
23/07/22,3.49,2.9527,3.8769
24/07/22,3.2,2.4731,3.7144
25/07/22,4.11,3.2485,4.732
26/07/22,5.54,3.7206,6.8431
27/07/22,6.19,4.5589,7.3626
28/07/22,6.24,4.4876,7.4849
29/07/22,6.69,4.6953,8.1105
30/07/22,4.32,3.3502,5.0051
31/07/22,3.09,2.0176,3.8512
01/08/22,3.84,3.3244,4.2161
02/08/22,5.93,4.1672,7.1929
03/08/22,7.02,5.2536,8.7831
04/08/22,6.34,4.9399,7.7358
05/08/22,4.73,4.2844,5.1668
06/08/22,4.58,3.1532,6.0079
07/08/22,3.27,2.0785,4.4533
08/08/22,3.7,3.03,4.3677
09/08/22,3.66,2.4385,4.8818
10/08/22,3.55,2.6287,4.4646
11/08/22,2.6,1.8977,3.3002
12/08/22,3.91,3.2834,4.5282
13/08/22,4.23,2.943,5.509
14/08/22,2.98,2.3262,3.6256
15/08/22,2.64,1.4274,3.8441
16/08/22,4.17,2.7161,5.6255
17/08/22,4.5,3.5871,5.4071
18/08/22,5.71,4.402,7.0113
19/08/22,5.19,4.1547,6.2265
20/08/22,3.94,3.4472,4.4342
21/08/22,3.24,2.632,3.8551
22/08/22,3.84,3.2345,4.4403
23/08/22,4.29,3.3209,5.2613
24/08/22,5.63,4.7436,6.5199
25/08/22,6.35,4.5805,8.1127
26/08/22,8.05,6.632,9.4672
27/08/22,7.72,5.7043,9.7365
28/08/22,5.54,3.7049,7.3735
29/08/22,7.24,6.0936,8.3874
30/08/22,7.53,5.7531,9.3081
31/08/22,8.53,6.6694,10.3957
01/09/22,8.07,6.7047,9.4295
02/09/22,7.45,5.6088,9.2835
03/09/22,6.46,4.261,8.0275
04/09/22,3.99,2.7381,4.8891
05/09/22,6.59,4.7226,7.9254
06/09/22,7.4,5.708,8.6034
07/09/22,7.17,5.2992,8.4993
08/09/22,6.26,4.4397,7.5628
09/09/22,6.4,4.2598,7.9218
10/09/22,5.26,3.2082,6.7204
11/09/22,3.11,1.2436,4.4463
12/09/22,3.1,2.3174,3.6568
13/09/22,3.69,2.9407,4.228
14/09/22,3.67,3.0021,4.1499
15/09/22,3.65,3.2427,3.9387
16/09/22,3.06,2.5393,3.4323
17/09/22,3.53,2.8517,4.0164
18/09/22,4.84,3.3468,5.9139
19/09/22,5.3,4.1057,6.1492
20/09/22,4.14,3.6679,4.4736
21/09/22,3.72,3.0659,4.1924
22/09/22,3.36,2.5572,3.9332
23/09/22,2.69,2.1481,3.0697
24/09/22,3.24,2.1439,4.0256
25/09/22,2.83,1.5455,3.7409
26/09/22,5.58,4.5586,6.3156
27/09/22,5.2,3.9383,6.1007
28/09/22,5.21,3.9522,6.1046
29/09/22,5.03,3.9091,5.8223
30/09/22,4.67,3.9094,5.2213
01/10/22,3.84,3.1253,4.3484
02/10/22,3.13,2.4204,3.6387
03/10/22,4.21,3.8239,4.4834
04/10/22,4.09,3.6895,4.374
05/10/22,3.6,3.2465,3.8542
06/10/22,3.83,3.8691,3.7979
07/10/22,3.95,3.4,4.3363
08/10/22,3.2,2.7818,3.5012
09/10/22,2.88,2.4638,3.1791
10/10/22,3.13,2.8424,3.327
11/10/22,3.09,2.4035,3.5815
12/10/22,3.55,2.9118,4.0099
13/10/22,3.72,2.7732,4.396
14/10/22,3.96,2.9645,4.6682
15/10/22,3.89,2.7373,4.7218
16/10/22,3.28,2.3518,3.9463
17/10/22,4.62,3.8332,5.1888
18/10/22,4.57,3.8637,5.0731
19/10/22,4.54,3.9529,4.9626
20/10/22,4.01,3.4171,4.4336
21/10/22,3.95,3.6793,4.1405
22/10/22,3.74,3.3795,4.0011
23/10/22,3.28,2.7785,3.639
24/10/22,2.49,1.6923,3.0625
25/10/22,2.24,1.5614,2.7197
26/10/22,3.45,3.4955,3.4258
27/10/22,4.41,4.4862,4.3529
28/10/22,5.04,4.8435,5.1818
29/10/22,5.34,5.2443,5.4044
30/10/22,4.05,3.9044,4.1487
31/10/22,4.75,4.9256,4.6222
01/11/22,4.57,4.6692,4.4908
02/11/22,4.92,5.154,4.7555
